0.000,0.000
0.000,0.050
0.000,0.100
0.000,0.150
0.000,0.200
0.000,0.250
0.000,0.300
0.000,0.350
0.000,0.400
0.000,0.450
0.000,0.500
0.000,0.550
0.000,0.600
0.000,0.650
0.000,0.700
0.000,0.750
0.000,0.800
0.000,0.850
0.000,0.900
0.000,0.950
0.000,1.000
0.050,0.000
0.050,0.050
0.050,0.100
0.050,0.150
0.050,0.200
0.050,0.250
0.050,0.300
0.050,0.350
0.050,0.400
0.050,0.450
0.050,0.500
0.050,0.550
0.050,0.600
0.050,0.650
0.050,0.700
0.050,0.750
0.050,0.800
0.050,0.850
0.050,0.900
0.050,0.950
0.050,1.000
0.100,0.000
0.100,0.050
0.100,0.100
0.100,0.150
0.100,0.200
0.100,0.250
0.100,0.300
0.100,0.350
0.100,0.400
0.100,0.450
0.100,0.500
0.100,0.550
0.100,0.600
0.100,0.650
0.100,0.700
0.100,0.750
0.100,0.800
0.100,0.850
0.100,0.900
0.100,0.950
0.100,1.000
0.150,0.000
0.150,0.050
0.150,0.100
0.150,0.150
0.150,0.200
0.150,0.250
0.150,0.300
0.150,0.350
0.150,0.400
0.150,0.450
0.150,0.500
0.150,0.550
0.150,0.600
0.150,0.650
0.150,0.700
0.150,0.750
0.150,0.800
0.150,0.850
0.150,0.900
0.150,0.950
0.150,1.000
0.200,0.000
0.200,0.050
0.200,0.100
0.200,0.150
0.200,0.200
0.200,0.250
0.200,0.300
0.200,0.350
0.200,0.400
0.200,0.450
0.200,0.500
0.200,0.550
0.200,0.600
0.200,0.650
0.200,0.700
0.200,0.750
0.200,0.800
0.200,0.850
0.200,0.900
0.200,0.950
0.200,1.000
0.250,0.000
0.250,0.050
0.250,0.100
0.250,0.150
0.250,0.200
0.250,0.250
0.250,0.300
0.250,0.350
0.250,0.400
0.250,0.450
0.250,0.500
0.250,0.550
0.250,0.600
0.250,0.650
0.250,0.700
0.250,0.750
0.250,0.800
0.250,0.850
0.250,0.900
0.250,0.950
0.250,1.000
0.300,0.000
0.300,0.050
0.300,0.100
0.300,0.150
0.300,0.200
0.300,0.250
0.300,0.300
0.300,0.350
0.300,0.400
0.300,0.450
0.300,0.500
0.300,0.550
0.300,0.600
0.300,0.650
0.300,0.700
0.300,0.750
0.300,0.800
0.300,0.850
0.300,0.900
0.300,0.950
0.300,1.000
0.350,0.000
0.350,0.050
0.350,0.100
0.350,0.150
0.350,0.200
0.350,0.250
0.350,0.300
0.350,0.350
0.350,0.400
0.350,0.450
0.350,0.500
0.350,0.550
0.350,0.600
0.350,0.650
0.350,0.700
0.350,0.750
0.350,0.800
0.350,0.850
0.350,0.900
0.350,0.950
0.350,1.000
0.400,0.000
0.400,0.050
0.400,0.100
0.400,0.150
0.400,0.200
0.400,0.250
0.400,0.300
0.400,0.350
0.400,0.400
0.400,0.450
0.400,0.500
0.400,0.550
0.400,0.600
0.400,0.650
0.400,0.700
0.400,0.750
0.400,0.800
0.400,0.850
0.400,0.900
0.400,0.950
0.400,1.000
0.450,0.000
0.450,0.050
0.450,0.100
0.450,0.150
0.450,0.200
0.450,0.250
0.450,0.300
0.450,0.350
0.450,0.400
0.450,0.450
0.450,0.500
0.450,0.550
0.450,0.600
0.450,0.650
0.450,0.700
0.450,0.750
0.450,0.800
0.450,0.850
0.450,0.900
0.450,0.950
0.450,1.000
0.500,0.000
0.500,0.050
0.500,0.100
0.500,0.150
0.500,0.200
0.500,0.250
0.500,0.300
0.500,0.350
0.500,0.400
0.500,0.450
0.500,0.500
0.500,0.550
0.500,0.600
0.500,0.650
0.500,0.700
0.500,0.750
0.500,0.800
0.500,0.850
0.500,0.900
0.500,0.950
0.500,1.000
0.550,0.000
0.550,0.050
0.550,0.100
0.550,0.150
0.550,0.200
0.550,0.250
0.550,0.300
0.550,0.350
0.550,0.400
0.550,0.450
0.550,0.500
0.550,0.550
0.550,0.600
0.550,0.650
0.550,0.700
0.550,0.750
0.550,0.800
0.550,0.850
0.550,0.900
0.550,0.950
0.550,1.000
0.600,0.000
0.600,0.050
0.600,0.100
0.600,0.150
0.600,0.200
0.600,0.250
0.600,0.300
0.600,0.350
0.600,0.400
0.600,0.450
0.600,0.500
0.600,0.550
0.600,0.600
0.600,0.650
0.600,0.700
0.600,0.750
0.600,0.800
0.600,0.850
0.600,0.900
0.600,0.950
0.600,1.000
0.650,0.000
0.650,0.050
0.650,0.100
0.650,0.150
0.650,0.200
0.650,0.250
0.650,0.300
0.650,0.350
0.650,0.400
0.650,0.450
0.650,0.500
0.650,0.550
0.650,0.600
0.650,0.650
0.650,0.700
0.650,0.750
0.650,0.800
0.650,0.850
0.650,0.900
0.650,0.950
0.650,1.000
0.700,0.000
0.700,0.050
0.700,0.100
0.700,0.150
0.700,0.200
0.700,0.250
0.700,0.300
0.700,0.350
0.700,0.400
0.700,0.450
0.700,0.500
0.700,0.550
0.700,0.600
0.700,0.650
0.700,0.700
0.700,0.750
0.700,0.800
0.700,0.850
0.700,0.900
0.700,0.950
0.700,1.000
0.750,0.000
0.750,0.050
0.750,0.100
0.750,0.150
0.750,0.200
0.750,0.250
0.750,0.300
0.750,0.350
0.750,0.400
0.750,0.450
0.750,0.500
0.750,0.550
0.750,0.600
0.750,0.650
0.750,0.700
0.750,0.750
0.750,0.800
0.750,0.850
0.750,0.900
0.750,0.950
0.750,1.000
0.800,0.000
0.800,0.050
0.800,0.100
0.800,0.150
0.800,0.200
0.800,0.250
0.800,0.300
0.800,0.350
0.800,0.400
0.800,0.450
0.800,0.500
0.800,0.550
0.800,0.600
0.800,0.650
0.800,0.700
0.800,0.750
0.800,0.800
0.800,0.850
0.800,0.900
0.800,0.950
0.800,1.000
0.850,0.000
0.850,0.050
0.850,0.100
0.850,0.150
0.850,0.200
0.850,0.250
0.850,0.300
0.850,0.350
0.850,0.400
0.850,0.450
0.850,0.500
