6;1;4;63;63
4;3;4;67;67
0;4;2;73;74
7;10;10;94;94
0;8;0;55;56
10;1;6;72;72
9;1;0;75;76
1;7;2;58;58
7;0;7;50;51
5;2;8;74;74
10;0;4;62;63
2;6;8;59;60
4;6;7;84;84
4;5;8;95;96
7;5;5;99;98
7;3;0;95;96
6;3;10;71;72
6;6;2;64;65
8;2;3;50;49
7;4;6;71;72
10;0;0;76;77
1;9;10;52;52
3;7;8;65;64
8;5;5;75;74
4;4;7;55;56
6;10;7;93;93
4;0;1;69;69
4;1;6;69;69
3;3;3;92;91
10;1;4;66;66
3;3;9;60;60
4;2;0;59;58
4;8;3;50;49
9;8;6;69;70
5;6;8;96;95
6;6;2;77;77
0;1;3;64;63
1;3;9;100;101
6;5;3;96;97
3;3;4;96;95
2;7;1;56;56
2;8;5;93;94
0;7;2;91;90
5;3;0;88;89
8;5;8;74;75
2;5;7;57;57
1;0;5;59;60
8;7;3;99;98
3;8;1;55;55
1;5;0;98;98
10;10;1;95;96
5;10;10;87;88
0;2;9;100;101
10;3;0;71;70
3;6;1;70;71
3;1;5;95;96
8;6;7;64;65
0;9;4;73;72
3;5;0;86;87
0;1;4;59;58
3;6;0;79;80
5;4;1;73;72
3;1;4;53;54
5;5;0;77;76
8;0;8;99;100
0;0;7;99;98
0;7;2;71;72
9;5;10;67;66
7;3;8;54;55
2;5;2;81;81
6;8;5;61;62
8;3;1;57;56
1;0;7;61;61
5;6;3;97;98
3;1;3;57;56
2;10;2;80;80
3;4;4;77;77
8;1;3;59;58
2;9;1;89;88
10;10;4;72;71
0;3;9;76;77
2;7;10;93;94
0;4;1;87;88
9;2;0;51;51
3;2;7;64;63
2;2;4;87;88
2;9;6;88;89
5;0;7;95;96
1;8;1;72;73
7;4;1;73;72
4;9;3;58;59
10;10;3;69;69
1;1;7;95;95
8;7;4;92;92
3;1;5;62;62
6;8;0;100;99
3;9;10;68;67
5;3;6;76;77
8;4;6;96;97
7;8;5;71;70
