filename,fold,target,category,esc10,src_file,take
1-104089-A-22.wav,1,22,clapping,FALSE,104089,A
1-104089-B-22.wav,1,22,clapping,FALSE,104089,B
1-105224-A-22.wav,1,22,clapping,FALSE,105224,A
1-110537-A-22.wav,1,22,clapping,FALSE,110537,A
1-115920-A-22.wav,1,22,clapping,FALSE,115920,A
1-115920-B-22.wav,1,22,clapping,FALSE,115920,B
1-115921-A-22.wav,1,22,clapping,FALSE,115921,A
1-155858-A-25.wav,1,25,footsteps,FALSE,155858,A
1-155858-B-25.wav,1,25,footsteps,FALSE,155858,B
1-155858-C-25.wav,1,25,footsteps,FALSE,155858,C
1-155858-D-25.wav,1,25,footsteps,FALSE,155858,D
1-155858-E-25.wav,1,25,footsteps,FALSE,155858,E
1-155858-F-25.wav,1,25,footsteps,FALSE,155858,F
1-21934-A-38.wav,1,38,clock_tick,TRUE,21934,A
1-21935-A-38.wav,1,38,clock_tick,TRUE,21935,A
1-223162-A-25.wav,1,25,footsteps,FALSE,223162,A
1-35687-A-38.wav,1,38,clock_tick,TRUE,35687,A
1-42139-A-38.wav,1,38,clock_tick,TRUE,42139,A
1-48413-A-38.wav,1,38,clock_tick,TRUE,48413,A
1-51147-A-25.wav,1,25,footsteps,FALSE,51147,A
1-57163-A-38.wav,1,38,clock_tick,TRUE,57163,A
1-62849-A-38.wav,1,38,clock_tick,TRUE,62849,A
1-62850-A-38.wav,1,38,clock_tick,TRUE,62850,A
1-94036-A-22.wav,1,22,clapping,FALSE,94036,A
2-119748-A-38.wav,2,38,clock_tick,TRUE,119748,A
2-127108-A-38.wav,2,38,clock_tick,TRUE,127108,A
2-131943-A-38.wav,2,38,clock_tick,TRUE,131943,A
2-134700-A-38.wav,2,38,clock_tick,TRUE,134700,A
2-135728-A-38.wav,2,38,clock_tick,TRUE,135728,A
2-140147-A-38.wav,2,38,clock_tick,TRUE,140147,A
2-141584-A-38.wav,2,38,clock_tick,TRUE,141584,A
2-209471-A-25.wav,2,25,footsteps,FALSE,209471,A
2-209472-A-25.wav,2,25,footsteps,FALSE,209472,A
2-209473-A-25.wav,2,25,footsteps,FALSE,209473,A
2-209474-A-25.wav,2,25,footsteps,FALSE,209474,A
2-209475-A-25.wav,2,25,footsteps,FALSE,209475,A
2-209476-A-25.wav,2,25,footsteps,FALSE,209476,A
2-209477-A-25.wav,2,25,footsteps,FALSE,209477,A
2-209478-A-25.wav,2,25,footsteps,FALSE,209478,A
2-25292-A-22.wav,2,22,clapping,FALSE,25292,A
2-25293-A-22.wav,2,22,clapping,FALSE,25293,A
2-57733-A-22.wav,2,22,clapping,FALSE,57733,A
2-60900-A-22.wav,2,22,clapping,FALSE,60900,A
2-76408-A-22.wav,2,22,clapping,FALSE,76408,A
2-76408-B-22.wav,2,22,clapping,FALSE,76408,B
2-76408-C-22.wav,2,22,clapping,FALSE,76408,C
2-76408-D-22.wav,2,22,clapping,FALSE,76408,D
2-88724-A-38.wav,2,38,clock_tick,TRUE,88724,A
3-103597-A-25.wav,3,25,footsteps,FALSE,103597,A
3-103598-A-25.wav,3,25,footsteps,FALSE,103598,A
