epoch,accuracy,loss,val_accuracy,val_loss
0,0.6118749976158142,0.6758027076721191,0.0,0.7724687457084656
1,0.625,0.6586211323738098,0.0,0.8913235664367676
2,0.625,0.6504513621330261,0.08749999850988388,0.7176564931869507
3,0.6324999928474426,0.6426612138748169,0.0,1.0088145732879639
4,0.6287500262260437,0.6339408755302429,0.49000000953674316,0.7080734968185425
5,0.6424999833106995,0.6261072754859924,0.1850000023841858,0.8127970099449158
6,0.6650000214576721,0.6046821475028992,0.875,0.609380841255188
7,0.6568750143051147,0.6261261701583862,0.32749998569488525,0.8149828314781189
8,0.675000011920929,0.5926084518432617,0.42750000953674316,0.7501845359802246
9,0.675000011920929,0.6008970737457275,0.6499999761581421,0.6690468788146973
10,0.7037500143051147,0.5715768933296204,0.7749999761581421,0.5987313389778137
11,0.7049999833106995,0.5639685988426208,0.5699999928474426,0.7052059173583984
12,0.7118750214576721,0.5600829124450684,0.49000000953674316,0.7710992693901062
13,0.7237499952316284,0.5450800061225891,0.3400000035762787,0.9561596512794495
14,0.7231249809265137,0.546501636505127,0.75,0.599017322063446
15,0.71875,0.5366459488868713,0.4625000059604645,0.8197407722473145
16,0.734375,0.5422648191452026,0.5450000166893005,0.7482991218566895
17,0.721875011920929,0.5346865653991699,0.36250001192092896,0.9107865691184998
