epoch,acc,loss,val_acc,val_loss
0,0.610625,0.8411963605880737,0.0,0.7824995946884156
1,0.625625,0.6677322673797608,0.0,0.8416305541992187
2,0.625,0.6690958189964294,0.0,0.7894729089736938
3,0.62625,0.6640763282775879,0.0,0.8372261261940003
4,0.626875,0.6607955884933472,0.0,0.7722558426856995
5,0.624375,0.6536117935180664,0.01,0.7377357482910156
6,0.62625,0.6592408657073975,0.1175,0.7237387704849243
7,0.6275,0.6491636943817138,0.0175,0.8325577116012574
8,0.631875,0.6443067646026611,0.3775,0.7312228918075562
9,0.6475,0.6376496601104736,0.4325,0.7290820932388306
10,0.65375,0.6182657718658447,0.4025,0.7943642282485962
11,0.654375,0.6138048505783081,0.2125,0.8526777791976928
12,0.6675,0.5927170705795288,0.4925,0.7431663584709167
13,0.65875,0.6116708636283874,0.6325,0.6861653876304626
14,0.676875,0.5852909064292908,0.7825,0.6006985473632812
15,0.693125,0.5720945858955383,0.885,0.5432961368560791
16,0.704375,0.5621917843818665,0.8975,0.5115927028656005
17,0.69125,0.5789621496200561,0.4925,0.799237699508667
18,0.7075,0.5591653513908387,0.52,0.7698150181770325
19,0.714375,0.5506045722961426,0.5725,0.7363678216934204
20,0.70625,0.5509156155586242,0.48,0.7969197082519531
21,0.725625,0.5292582893371582,0.8025,0.5439118528366089
22,0.721875,0.5280870008468628,0.65,0.6764863562583924
23,0.73125,0.5193216407299042,0.41,0.905966420173645
24,0.755625,0.5223719525337219,0.565,0.8328400063514709
25,0.746875,0.5189215278625489,0.535,0.8287838792800903
26,0.74375,0.5142235171794891,0.6825,0.6661459851264954
27,0.74875,0.5280905032157898,0.805,0.548962025642395
28,0.770625,0.49364200592041013,0.495,0.8550513648986816
29,0.755625,0.49456292152404785,0.7875,0.531762216091156
30,0.75875,0.49092376470565796,0.69,0.6669094085693359
31,0.768125,0.486007798910141,0.81,0.5084085512161255
32,0.75625,0.48109289646148684,0.2925,1.035436475276947
33,0.769375,0.47493444085121156,0.7475,0.5931406569480896
34,0.77125,0.4722747325897217,0.765,0.5794781255722046
35,0.765,0.49039299368858336,0.735,0.6054218053817749
36,0.780625,0.4614046430587769,0.5825,0.7703522729873657
37,0.77,0.4642417645454407,0.7225,0.6031761169433594
38,0.788125,0.4368391168117523,0.7925,0.5203742384910583
39,0.7875,0.44973777294158934,0.7125,0.6227319955825805
