content,target,target_names
"  I was wondering if anyone out there could enlighten me on this car I saw the other day. It was a 2-door sports car, looked to be from the late 60s/ early 70s. It was called a Bricklin. The doors were really small. In addition, the front bumper was separate from the rest of the body. This is  all I know. If anyone can tellme a model name, engine specs, years of production, where this car is made, history, or whatever info you have on this funky looking car, please e-mail.  Thanks, - IL    ---- brought to you by your neighborhood Lerxst ----     ",0,rec.autos
" There were a few people who responded to my request for info on treatment for astrocytomas through email, whom I couldnt thank directly because of mail-bouncing probs (Sean, Debra, and Sharon).  So I thought Id publicly thank everyone.  Thanks!   (Im sure glad I accidentally hit ""rn"" instead of ""rm"" when I was trying to delete a file last September. ""Hmmm... News? Whats this?""....)  -Brian ",3,sci.med
"      I recently posted an article asking what kind of rates single, male drivers under 25 yrs old were paying on performance cars. Heres a summary of the replies I received.         -------------------------------------------------------------------------------   Im not under 25 anymore (but is 27 close enough).   1992 Dodge Stealth RT/Twin Turbo (300hp model). No tickets, no accidents, own a house, have taken defensive driving 1, airbag, abs, security alarm, single.   $1500/year  $500 decut. State Farm Insurance (this includes the additional $100 for the $1,000,000 umbrella policy over my car and house)  The base policy is the standard $100,000 - $100,000 - $300,000 policy required in DE.   After 2nd defensive driving course it will be 5% less.   I bought the car in September 1992.  The company I was with (never had and accident or ticket in 11 years) quoted me $2,500.   Hope this helps.   Steve Flynn University of Delaware ======================================================================== 45      (Hope I remembered your name correctly)...       You asked about insurance for performance cars.  Well, last year     I was in a similar situation before I bought my car, and made the     same inquiry as you.    Driving      I turn 25 in May and the insurance goes down to $520/6 mos.     Also, Im single and that incurs a higher rate with my company.       Ive got a couple other friends w/ AWDs and they pay more     than I do (different ins. companies also), so maybe Im just lucky.       Hope the info helps.       Dan     [dans@jdc.gss.mot.com]     Motorola Cellular Subscriber Group   ======================================================================== 38  USA  Im 23; live in Norman, Oklahoma; drive an 89 Thunderbird SC; have never made a claim against my insurance (though I have been hit several times by negligent drivers who couldnt see stop signs or were fiddling with their radios); and I have had three moving violations in the last 18 months (one for going 85 in a 55; one for ""failure to clear an intersection"" (I still say the damn light was yellow); and one for going 35 in a 25 (which didnt go on my record)). My rates from State Farm (with a passive restraint deduction) on liability, $500 deductible comprehensive, and $500 deductible collision are roughly $1300/year. (I was paying just over $1100/year for a 92 Escort LX.)   				James   James P. Callison    Microcomputer Coordinator, U of Oklahoma Law Center Callison@uokmax.ecn.uoknor.edu   /\    Callison@aardvark.ucs.uoknor.edu		The forecast calls for Thunder...89 T-Bird SC    ""Its a hell of a thing, killing a man. You take away all he has 	and all hes ever gonna have."" 			--Will Munny, ""Unforgiven"" ======================================================================== 61   I am beyond the ""under 25"" age group, but I have an experience a few years ago that might be interesting to you.  I owned a 1985 Toyota Celica GT.  I decided to buy myself a gift - a more exotic car.  Front runners included the Toyota Supra Turbo and the Porsche 924 (1987 model years). I narrowed it down to those two.  I liked the simplicity and handling (and snob appeal, too) of driving a Porsche.  The Supra Turbo was less money and had more features and performance - almost a personal luxury car.  It had better acceleration and a higher top speed than the 924. I was almost ready to give in to a buying impulse for the 924, but i decided to stop by my insurance agents office on the way.  I asked about what would happen to my rate with either car.   ""If you buy the Supra, your rate classification will be the same as the Celica (the 85 Celica was considered a subcompact and for that year was rated as one of the safest cars), with a slight increase because the car will be 2 years newer.  Our lower-risk division will continue to handle your account.   ""If you buy the Porsche 924, well have to change you to the standard [higher] rate company and your rate will double.  And if you go with a 944, its another story again - well cover the rest of this year, but cancel you after that.""   ""But the Supra is much faster than the 924, and the 924 is actually faster than the [standard] 944.  That doenst make sense.""    Thats what the book says.  We dont insure Corvettes, either.  For some reason, the underwriters consider Supras - and their drivers - as very traditional and conservative.""   I eventually went with the Supra for a number of reasons.  The Porsche dealer had a nice salesman to get me interested, but a tough high-pressure guy in the back room.  At equal monthly payments, it would have taken a year longer to pay for the Porsche, plus its higher insurance.  I concluded that the high insurance was related to probability of auto theft.      /|/| /||)|/  /~ /\| |\|)[~|)/~   |   Everyones entitled to MY opinion.   / | |/ ||\|\  \_|\/|_|/|)[_|\\_|  |      goldberg@oasys.dt.navy.mil ========Imagination is more important than knowledge. - Albert Einstein=======           ======================================================================== 32   I live in Idaho.  When I was <26 many years ago (10 years) I bought a Trans Am (new).  Insurance was about $1300/year.  When I turned 26, it immediately dropped to $460/year.  I had not had any accidents before or after, this was strictly an age change.  That same rate stayed pretty much the same until I sold the car 2 years ago.  My F-150 pickup is about $80/year less.   The real amazing thing is that when I woke up at age 25, I felt SO MUCH MORE RESPONSIBLE than I was before...  :-)   Wes   ======================================================================== 21     For yourCalifornia Male, single, under 25 , No moving violation Alfa Spider      =======> $2000 / year   What a bargain!!! ======================================================================== 28   Lets see, Im 24, single, male, clean driving record. I have a 92 VW COrrado VR6. I live in San Jose, California. I pay ~1500$ a year through Allstate. A good deal if you ask me.   I was thinking about getting a Talon, but I think the insurance is higher for a ""turbo"" sports car vs a V6   -W   ======================================================================== 27   1986 Honda CRX Si, clean record, in a small New Mexico town was around $800 per year, age 24.   Nearby city rates were 1.5X-2X higher than where Ive got mine insured.   ..robert -- Robert Stack / Institute of Transportation Studies, Univ of California-Irvine                stack@translab.its.uci.edu   92 Mazda Protege LX ======================================================================== 37 1300 per year, 1992 Saturn SC, 21 Years old,    ======================================================================== 64     Here is my  Car             : 89 Toyota Celica ST Insurance Co    : Farmers Insurance YearlyAge             : 24 Date of license : Oct 14, 1992 Residence       : Mountain View, California No moving violations (for now atleast ;-)   Hope this helps. Please post a summary if possible.   Vijay ********************************************************************** Vijay Anisetti======================================================================== 38 Single, 24 years old, Eagle Talon Turbo AWD, $1200 (full-cover, reasonable  liability) No tickets, No violations, No accidents... (knock on wood...) Mass,   	One thing that makes a HUGE difference in MASS is the town you live in. Im personally in one of the best towns within reasonable distance of Boston.  If I moved to the absolute best it would go down to about $1150, if I moved to the worst it would be $2000+..   	Also one accident and a couple of tickets, would probably add another $600...     	_RV     ======================================================================== 43 I have a 1990 Mitsubishi eclipse turbo awd, am 23 years old and have no tickets that went on my record.  I live in Illinois just outside of Chicago and pay $1560 a year with full coverage at State Farm.  I did get a small discount because of my alarm system($30 a year).  I only live 15 miles from Chicago but if I actually lived in the city the price would be about $2000 a year. ======================================================================== 41 Im over 25, but in case youre interested anyway, Im insuring a 93 SHO for $287/6 month.  Thats 100k personal+300k total+100k property with 250 deductible, glass and towing, State Farm.   ======================================================================== 39   Unless you are under 20 or have been driving for less than 5 years, I think you are being seriously ripped off.  I dont have one of the performance cars you listed, but if your record is clean, then you should not be paying over $2K.   Did you try calling all the insurance dealers you could find? Although rates are supposed to be standardized, Ive found that most places I initially call, give me some ridiculously high quote and *finaly*, I hit one that is much lower.   Also, I have changed insurance companies when the rate went up at renewal (no accidents, tickets, car gets older??) to maintain a low rate.  You always have to be careful when it comes to insurance companies 8^).   Good luck, Serge ",0,rec.autos
 Doug Roberts - Ken Hill for NL MVP!! 	       Lets go Spos ,2,rec.sport.baseball
" In article <Apr.5.23.31.36.1993.23919@athos.rutgers.edu> by028@cleveland.freenet.edu (Gary V. Cavano)>Im new to this group, and maybe this has been covered already, >but does anybody out there see the current emphasis on the >environment being turned (unintentionally, of course) into >pantheism?  Yes.  (I am adamantly an environmentalist.  I will not use styrofoam table service. Please keep that in mind as you read this post - I do not wish to attack environmentalism)  A half truth is at least as dangerous as a complete lie.  A complete lie will rarely be readily accepted, while a half truth (the lie subtly hidden) is more powerfully offered by one who masquerades as an angel of light.  Satan has (for some people) loosened the grip on treating the earth as something other than Gods intricate handiwork, something other than that on which the health of future generations is based.  It is being treated with respect.  You think hes going to happily leave it at that?  No.  When one error is rejected, it is his style to push people to the opposite error.  Therefore the earth is not Gods intricate handiwork, not because it is rubbish, but because it is God.  Mother earth is the one you are to primarily love and serve.  I see two facets of a response to   Gods intricate handiwork and the health of future generation, and because    showing the facet of one who is disregardful of such things does not    constitute what the Apostle Paul called ""becoming all things to all men so    that by all possible means I might save some.""     Dont say ""Forget the environment, Ive got important things to spend my time    on."" - putting your foot in your mouth in this manner will destroy your    credibility in expressing the things that _are_ more important.   creator.  Show that its beauty and glory points to a greater beauty and    glory.  Show that it is not the ultimate tapestry, but one of many cords    woven in the infinite tapestry.  ################################################################################ # ""God, give me mountains # ""But the greatest   # Jonathan Hayward             # # to climb and the        # of these is love.""  # Jonathan_Hayward@wheaton.edu # # strength for climbing."" # I Corinthians################################################################################ ",1,soc.religion.christian
" tcorkum@bnr.ca (Trevor Corkum)>Is it only me, or is >safety not one of the most important factors when buying a car?  It depends on your priorities.  A lot of people put higher priorities on gas mileage and cost than on safety, buying ""unsafe"" econoboxes instead of Volvos.  I personally take a middle ground -- the only thing I really look for is a three-point seatbelt and 5+mph bumpers. I figure that 30mph collisions into brick walls arent common enough for me to spend that much extra money for protection, but there are lots of low-speed collisions that do worry me.  jim frost jimf@centerline.com ",0,rec.autos
"  My 14-y-o son has the usual teenage spotty chin and greasy nose.  I bought him Clearasil face wash and ointment.  I think that is probably enough, along with the usual good diet.  However, he is on at me to get some product called Dalacin T, which used to be a doctors-prescription only treatment but is not available over the chemists counter.  I have asked a couple of pharmacists who say either his acne is not severe enough for Dalacin T, or that Clearasil is OK.  I had the odd spots as a teenager, nothing serious.  His father was the same, so I dont figure his acne is going to escalate into something disfiguring.  But I know kids are senstitive about their appearance.  I am wary because a neighbours son had this wierd malady that was eventually put down to an overdose of vitamin A from acne treatment.  I want to help - but with appropriate treatment.  My son also has some scaliness around the hairline on his scalp.  Sort of teenage cradle cap.  Any pointers/advice on this?  We have tried a couple of anti dandruff shampoos and some of these are inclined to make the condition worse, not better.  Shall I bury the kid till hes 21 :)  --  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^             The floggings will continue until morale improves                   pchurch@swell.actrix.gen.nz  Pat Churchill, Wellington New Zealand  ",3,sci.med
" In article <1993Apr17.213553.2181@organpipe.uug.arizona.edu>, krueger@helium.gas.uug.arizona.edu (theodore r krueger)  > Isnt it funny that  a white person calls comeone a ""nigger"" and gets banned  > for a year, but a black person calls someone a ""faggot"" and there is no  > consequence?  > Ted   Ted, youre missing a vital point.  As Roger Lustig pointed out in a previous response, the reason why Schott was banned from baseball was because she had been known to call and think in a racially biased manner on a constant basis.  Such thoughts affected her hiring practices.  Bonilla, on the other hand, was found to have mentioned this one word a single time.  If he had been known to go around, criticizing homosexuals, it would be a different story.  Furthermore, he is merely an athlete.  He doesnt have to hire anyone as Schott had to do.  Dave Pallone, the former NL umpire who is an admitted homosexual, has decided to assist in a protest before a Mets game at Shea.  He, like you, thinks that Bonilla should be suspended from baseball.  Pallone is hoping for a years suspension.  In my opinion, thats downright ludicrous.  As Howie Rose on WFAN said, if you start suspending athletes who have mentioned a derogatory word even a single time under whatever conditions, then youd probably have enough people remaining to play a three-on-three game.  Now, honestly, if you truly analyze the differences between the two cases that you bring up in your article, I would think that youd reconsider your thoughts.                                       -Sean    *******************************************************************************   ""Behind the bag!""             - Vin Scully ******************************************************************************* ",2,rec.sport.baseball
" For the second straight game, California scored a ton of late runs to crush the Brewhas. It was six runs in the 8th for a 12-5 win Monday and five in the 8th and six in the 9th for a 12-2 win yesterday. Jamie Navarro pitched seven strong innings, but Orosco, Austin, Manzanillo and Lloyd all took part in the mockery of a bullpen yesterday. Hows this for numbers? Maldanado has pitched three scoreless innings and Navarros ERA is 0.75. The next lowest on the staff is Wegman at 5.14. Ouch!  It doesnt look much better for the hitters. Hamilton is batting .481, while Thon is hitting .458 and has seven RBI. The next highest is three. The next best hitter is Jaha at .267 and then Vaughn, who has the teams only HR, at .238. Another ouch. Looking at the stats, its not hard to see why the team is 2-5. In fact, 2-5 doesnt sound bad when youre averaging three runs/game and giving up 6.6/game.   Still, its early and things will undoubtedly get better. The offense should come around, but the bullpen is a major worry. Fetters, Plesac and Austin gave the Brewers great middle relief last year. Lloyd, Maldanado, Manzanillo,  Fetters, Austin and Orosco will have to pick up the pace for the team to be successful. Milwaukee won a number of games last year when middle relief either held small leads or kept small deficits in place. The starters will be okay, the defense will be alright and the hitting will come around, but the bullpen is a big question mark.  In other news, Nilsson and Doran were reactivated yesterday, while William Suero was sent down and Tim McIntosh was picked up by Montreal. Todays game with California was cancelled.  --salty  ",2,rec.sport.baseball
" Michael Chen (mike@cunixf.cc.columbia.edu) : In any case, I think Viola would have made a better signing.  Why? : Viola is younger, and is left handed (how many left handed starters does : Toronto have?  Well, I agree that Viola is a better signing.  However, why does everyone say that you want lefthanded starters?  I understand lefthanded spot relievers, even though they usually face more righthanded batters than lefthanded batters.  I just dont understand why people insist on lefthanded starters, unless there is a park effect (e.g., Yankee Stadium). Most batters in MLB are righthanded, so righthanded starters will have the platoon advantage more often than lefthanded starters. I guess one argument for lefty starters is that certain teams may be more vulnerable to LHPs than RHPs.  However, this is probably only a factor in the postseason, because teams seldom juggle their starters for this reason during the regular season.  I think you just want the best starters you can get, regardless of whether they are lefties or righties.  Lefthanded starters tend to have higher ERAs than righthanded starters, precisely because managers go out of their way to start inferior lefties (or perhaps because of the platoon advantage).  Am I missing something here?  --Craig ",2,rec.sport.baseball
